"calendar year","state or territory","Sum(count of cases excluding died in hospitals within 30 days)"
,,
"2011","ACT",537
"2011","NSW",10618
"2011","NT",456
"2011","Qld",6322
"2011","SA",2359
"2011","Tas",493
"2011","Vic",9326
"2011","WA",3442
"2012","ACT",601
"2012","NSW",11121
"2012","NT",496
"2012","Qld",6813
"2012","SA",2311
"2012","Tas",536
"2012","Vic",8098
"2012","WA",3493
"2013","ACT",573
"2013","NSW",11421
"2013","NT",561
"2013","Qld",7821
"2013","SA",2221
"2013","Tas",570
"2013","Vic",7784
"2013","WA",3475
"2014","ACT",542
"2014","NSW",11313
"2014","NT",575
"2014","Qld",7725
"2014","SA",2381
"2014","Tas",646
"2014","Vic",8523
"2014","WA",3154
"2015","ACT",700
"2015","NSW",11084
"2015","NT",691
"2015","Qld",8306
"2015","SA",2467
"2015","Tas",677
"2015","Vic",9198
"2015","WA",3183
"2016","ACT",654
"2016","NSW",11474
"2016","NT",709
"2016","Qld",8702
"2016","SA",2654
"2016","Tas",657
"2016","Vic",10360
"2016","WA",3031
"2017","ACT",632
"2017","NSW",11016
"2017","NT",703
"2017","Qld",9134
"2017","SA",2394
"2017","Tas",659
"2017","Vic",10794
"2017","WA",3195
"2018","ACT",712
"2018","NSW",9794
"2018","NT",832
"2018","Qld",9381
"2018","SA",2489
"2018","Tas",781
"2018","Vic",11453
"2018","WA",3274
"2019","ACT",665
"2019","NSW",9942
"2019","NT",656
"2019","Qld",9515
"2019","SA",2457
"2019","Tas",708
"2019","Vic",11392
"2019","WA",3534
"2020","ACT",629
"2020","NSW",9274
"2020","NT",787
"2020","Qld",9801
"2020","SA",2503
"2020","Tas",778
"2020","Vic",9884
"2020","WA",3636
"2021","ACT",740
"2021","NSW",9003
"2021","NT",710
"2021","Qld",10447
"2021","SA",2632
"2021","Tas",805
"2021","Vic",11130
"2021","WA",3568
